Distance_(microns),Gray_Value
0.000,352.000
3.039,441.393
6.078,369.759
9.118,317.425
12.157,403.517
15.196,421.572
18.235,504.565
21.275,571.032
24.314,467.658
27.353,366.686
30.392,664.420
33.431,1345.867
36.471,1955.098
39.510,2645.352
42.549,1948.460
45.588,1373.889
48.627,1279.361
51.667,1830.697
54.706,1845.202
57.745,2456.632
60.784,2337.139
63.824,1922.606
66.863,2599.893
69.902,2118.089
72.941,2272.205
75.980,2553.469
79.020,2707.626
82.059,2087.428
85.098,1928.865
88.137,2940.648
91.176,2811.621
94.216,2020.226
97.255,3582.645
100.294,3666.988
103.333,1882.907
106.373,1225.571
109.412,487.105
112.451,478.182
115.490,232.050
118.529,186.321
121.569,459.776
124.608,498.935
127.647,668.813
130.686,570.000
